source_route,element,attribute,label,raw_url,resolved_url,type,status,final_url,fragment,target_route,owner
"/404/","a","href","Agent skills","products/cli/agent-skills/","https://hardmagic.com/products/cli/agent-skills/","internal","ok","https://hardmagic.com/products/cli/agent-skills/","","/products/cli/agent-skills/","route-owner"
"/404/","a","href","Security","products/cli/security/","https://hardmagic.com/products/cli/security/","internal","ok","https://hardmagic.com/products/cli/security/","","/products/cli/security/","route-owner"
"/404/","a","href","Photo Curator","products/photo-curator/","https://hardmagic.com/products/photo-curator/","internal","ok","https://hardmagic.com/products/photo-curator/","","/products/photo-curator/","route-owner"
"/404/","a","href","GPU Router","products/gpu-router/","https://hardmagic.com/products/gpu-router/","internal","ok","https://hardmagic.com/products/gpu-router/","","/products/gpu-router/","route-owner"
"/404/","a","href","Web Magic","products/web-magic/","https://hardmagic.com/products/web-magic/","internal","ok","https://hardmagic.com/products/web-magic/","","/products/web-magic/","route-owner"
"/404/","a","href","All products","products/","https://hardmagic.com/products/","internal","ok","https://hardmagic.com/products/","","/products/","route-owner"
"/404/","a","href","View all products →","products/","https://hardmagic.com/products/","internal","ok","https://hardmagic.com/products/","","/products/","route-owner"
"/404/","a","href","Independent agentic media company A privately owned Delaware corporation building for the long horizon. Explore →","company/","https://hardmagic.com/company/","internal","ok","https://hardmagic.com/company/","","/company/","route-owner"
"/404/","a","href","Corporation","company/","https://hardmagic.com/company/","internal","ok","https://hardmagic.com/company/","","/company/","route-owner"
"/404/","a","href","Continuity","company/history/","https://hardmagic.com/company/history/","internal","ok","https://hardmagic.com/company/history/","","/company/history/","route-owner"
"/404/","a","href","Founder","company/founder/","https://hardmagic.com/company/founder/","internal","ok","https://hardmagic.com/company/founder/","","/company/founder/","route-owner"
"/404/","a","href","Selected experience","company/selected-experience/","https://hardmagic.com/company/selected-experience/","internal","ok","https://hardmagic.com/company/selected-experience/","","/company/selected-experience/","route-owner"
"/404/","a","href","Principles","company/principles/","https://hardmagic.com/company/principles/","internal","ok","https://hardmagic.com/company/principles/","","/company/principles/","route-owner"
